3,1,780,179,43,119,-1,-1,-1,-1
3,2,463,177,19,54,-1,-1,-1,-1
3,4,419,175,23,69,-1,-1,-1,-1
3,6,1109,303,46,54,-1,-1,-1,-1
4,1,779,177,40,120,-1,-1,-1,-1
4,2,463,175,18,54,-1,-1,-1,-1
4,4,416,175,25,69,-1,-1,-1,-1
4,6,1116,302,51,56,-1,-1,-1,-1
4,7,444,172,12,30,-1,-1,-1,-1
5,1,777,175,40,121,-1,-1,-1,-1
5,2,460,172,22,55,-1,-1,-1,-1
5,4,411,170,30,66,-1,-1,-1,-1
5,6,1122,302,52,57,-1,-1,-1,-1
5,7,445,167,10,36,-1,-1,-1,-1
6,1,776,174,41,121,-1,-1,-1,-1
6,2,461,172,20,55,-1,-1,-1,-1
6,4,412,171,29,66,-1,-1,-1,-1
6,7,445,166,14,33,-1,-1,-1,-1
7,1,773,173,42,116,-1,-1,-1,-1
7,2,460,173,21,57,-1,-1,-1,-1
7,4,411,174,31,71,-1,-1,-1,-1
7,7,446,164,14,33,-1,-1,-1,-1
7,9,900,176,31,84,-1,-1,-1,-1
8,1,772,178,40,106,-1,-1,-1,-1
8,2,460,171,20,58,-1,-1,-1,-1
8,4,408,171,27,75,-1,-1,-1,-1
8,9,899,185,33,95,-1,-1,-1,-1
9,1,772,173,40,115,-1,-1,-1,-1
9,2,459,170,21,59,-1,-1,-1,-1
9,4,403,174,30,74,-1,-1,-1,-1
9,7,498,166,9,28,-1,-1,-1,-1
9,9,901,187,34,96,-1,-1,-1,-1
10,1,774,174,43,115,-1,-1,-1,-1
10,4,401,174,30,75,-1,-1,-1,-1
11,1,772,174,46,115,-1,-1,-1,-1
11,2,457,170,25,61,-1,-1,-1,-1
11,6,1178,309,69,64,-1,-1,-1,-1
11,7,503,167,8,26,-1,-1,-1,-1
12,1,773,173,39,112,-1,-1,-1,-1
12,2,457,170,24,61,-1,-1,-1,-1
13,1,771,172,35,110,-1,-1,-1,-1
13,2,457,170,26,53,-1,-1,-1,-1
13,4,394,169,31,63,-1,-1,-1,-1
13,7,511,166,9,25,-1,-1,-1,-1
